वृद्धिरादैच्,वृद्धिःआदैच्
मां मूढा मानुषीं तनुमाश्रितम्,माम्मूढाःमानुषीम्तनुम्आश्रितम् 
परं भावमजानन्तो मम,परम्भावम्अजानन्तःमम
भूतमहेश्वरम्,भूतमहाईश्वरम्
मोघाशा मोघकर्माणो मोघज्ञाना विचेतसः,मोघआशाःमोघकर्माणःमोघज्ञानाःविचेतसः 
राक्षसीमासुरीं चैव,राक्षसीम्आसुरीम्चएव
प्रकृतिं मोहिनीम्,प्रकृतिम्मोहिनीम्
महात्मानस्तु,महाआत्मानःतु 
मां पार्थ,माम्पार्थ
दैवीं प्रकृतिमाश्रिताः,दैवीम्प्रकृतिम्आश्रिताः
भजन्त्यनन्यमनसो ज्ञात्वा,भजन्तिअनन्यमनसःज्ञात्वा
भूतादिमव्ययम्,भूतआदिम्अव्ययम्
सततं कीर्तयन्तो मां यतन्तश्च,सततम्कीर्तयन्तःमाम्यतन्तःच
नमस्यन्तश्च,नमस्यन्तःच
मां भक्त्या,माम्भक्त्या 
चाप्यन्ये,चअपिअन्ये
यजन्तो मामुपासते,यजन्तःमाम्उपासते 
विश्वतोमुखम्,विश्वतःमुखम्
अहं क्रतुरहं यज्ञः,अहम्क्रतुःअहम्यज्ञः
स्वधाहमहमौषधम्,स्वधाअहम्अहम्औषधम् 
